Name|Price Average|Genres|Yelp Score|Yelp Count|FS Score|FS Count
Luxe Burger Bar|2|Burgers /// American (Traditional)|3.5|370|4.1|181
Harry’s Bar & Burger|1.5|Burgers /// Beer Bar|4.0|418|4.45|206
Blue Elephant|2.0|Modern American|3.5|9|4.35|213
Spike’s Junkyard Dogs|1.5|Hot Dogs|4.0|17|4.05|61
Tea In Sahara|1.0|Coffee & Tea /// Moroccan|4.0|78|4.4|32
Cuban Revolution|2|Cuban|3.0|136|4.2|25
Rick’s Roadhouse|2.0|Barbeque /// Burgers|3.5|189|3.8|71
Ruth’s Chris Steak House|3|Steakhouse /// Seafood /// Traditional American|4.0|98|4.2|17
Jake’s Bar & Grille|2.0|Traditional American|4.0|6|3.9|19
Bolt Coffee Co|1|Coffee & Tea|4.5|73|4.2|56
Bacaro|3|Wine Bars /// Italian /// Delis|4.0|174|4.2|27
Asian Paradise Restaurant|N/A|N/A|3.5|3|4.05|69
La Creperie|1|Creperies|3.5|160|4.2|51
Cafe Nuovo|3.5|American (Traditional)|4.0|131|4.1|23
Olga’s Cup and Saucer|2.0|Bakeries /// Breakfast & Brunch /// Sandwiches|3.5|236|3.95|82
East Side Pockets|1.5|Middle Eastern /// Greek /// Mediterranean|4.5|728|4.6|160
Providence Coal Fired Pizza|2.0|Pizza|4.0|400|4.35|124
Fellini Pizzeria|1.0|Pizza|4.0|272|4.0|84
Adesso California Cafe|N/A|N/A|4.0|2|4.65|83
The Pizza Gourmet|1.5|Pizza|4.0|136|4.05|16
Pot au Feu|3.0|French|3.5|93|3.85|12
Gracie’s|3|American (New) /// Bars|4.5|429|4.3|58
Froyo World|1.0|Ice Cream & Frozen Yogurt|4.0|95|4.1|41
Louis Family Restaurant|1.0|Diners /// Breakfast & Brunch|3.5|144|3.75|39
Jacky’s Waterplace|3|Sushi Bars /// Steakhouses /// Cantonese|3.5|199|4.1|54
Nice Slice|1.0|Pizza /// Vegan|4.0|226|4.35|80
Kabob and Curry|2.0|Indian|4.0|303|3.85|90
Amy’s Place|1.0|Modern American /// Breakfast & Brunch|3.5|77|3.85|30
Coffee Exchange|1|Coffee & Tea|4.0|250|4.25|195
Local 121|3|Bars /// American (New) /// French|4.0|362|4.2|132
Sakura Restaurant|2|Japanese /// Sushi Bars|3.5|232|4.25|71
Hemenway’s|3.0|Seafood|4.0|365|4.4|155
Starbucks|1.5|Coffee & Tea|3.0|9|4.0|23
The Dorrance|3|Bars /// Modern American /// Venues & Event Spaces|4.0|219|4.3|91
Kartabar|2.0|Bar /// Mediterranean|3.5|126|3.9|55
Geoff’s Superlative Sandwiches|1|Sandwiches|3.5|245|4.25|99
XO Café|2.0|Modern American /// Breakfast & Brunch|3.5|126|3.95|42
Wings & Things|1.0|Burgers /// Chicken Wings|3.0|31|3.95|37
Agora Restaurant & Bar|N/A|N/A|3.5|4|4.0|115
Starbucks|1.5|Coffee & Tea|3.5|27|4.0|59
Cafe Choklad|2|Coffee & Tea /// Desserts /// Specialty Food|4.0|65|4.15|38
The Red Fez|2|Pubs /// American (New)|4.0|293|4.25|98
Blue State Coffee|1.5|Coffee & Tea|4.0|129|4.05|119
Petit Mange|1.0|Creperies /// Sandwiches|3.5|2|4.05|29
United BBQ|1.0|Barbeque|3.5|79|4.05|40
Mill’s Tavern|3.5|Seafood /// Steakhouse /// Salad|4.0|229|3.85|56
Roots Cafe|2|Bars /// Music Venues /// Coffee & Tea|4.0|15|3.85|13
The Point Tavern|2.0|Bars|4.0|45|3.8|29
Small Point Café|1|Coffee & Tea /// Modern American /// Desserts|4.0|180|4.3|107
Antonio’s Pizza|1|Pizza|4.0|158|4.2|100
