Genre|Yelp|Foursquare|Adjusted Bias|Site Bias
Bars|3.84|4.25|-0.41|-0.08
Chinese|3.75|4.1|-0.35|-0.08
Dessert|3.88|4.14|-0.27|-0.08
Cafes|4.14|4.18|-0.04|-0.08
Mediterranean|4.34|4.52|-0.18|-0.08
Japanese|3.54|4.21|-0.67|-0.08
French|3.75|4.17|-0.42|-0.08
Pizza|3.88|4.23|-0.35|-0.08
Non-American|4.02|4.33|-0.31|-0.08
American|3.66|4.19|-0.52|-0.08
Non-White|4.05|4.36|-0.31|-0.08
Sandwiches|3.87|4.12|-0.24|-0.08
Latin American|3.03|4.2|-1.17|-0.08
European|3.8|4.18|-0.38|-0.08
Asian|3.69|4.1|-0.4|-0.08
Italian|3.94|4.2|-0.26|-0.08
